warning_type,category
JUA_DONT_ASSERT_INSTANCEOF_IN_TESTS,Bad practice (BAD_PRACTICE)
AA_ASSERTION_OF_ARGUMENTS,Bad practice (BAD_PRACTICE)
CT_CONSTRUCTOR_THROW,Bad practice (BAD_PRACTICE)
CNT_ROUGH_CONSTANT_VALUE,Bad practice (BAD_PRACTICE)
NP_BOOLEAN_RETURN_NULL,Bad practice (BAD_PRACTICE)
SW_SWING_METHODS_INVOKED_IN_SWING_THREAD,Bad practice (BAD_PRACTICE)
FI_FINALIZER_ONLY_NULLS_FIELDS,Bad practice (BAD_PRACTICE)
FI_FINALIZER_NULLS_FIELDS,Bad practice (BAD_PRACTICE)
UI_INHERITANCE_UNSAFE_GETRESOURCE,Bad practice (BAD_PRACTICE)
AM_CREATES_EMPTY_ZIP_FILE_ENTRY,Bad practice (BAD_PRACTICE)
AM_CREATES_EMPTY_JAR_FILE_ENTRY,Bad practice (BAD_PRACTICE)
IMSE_DONT_CATCH_IMSE,Bad practice (BAD_PRACTICE)
CN_IMPLEMENTS_CLONE_BUT_NOT_CLONEABLE,Bad practice (BAD_PRACTICE)
CN_IDIOM,Bad practice (BAD_PRACTICE)
CN_IDIOM_NO_SUPER_CALL,Bad practice (BAD_PRACTICE)
DE_MIGHT_DROP,Bad practice (BAD_PRACTICE)
DE_MIGHT_IGNORE,Bad practice (BAD_PRACTICE)
DM_EXIT,Bad practice (BAD_PRACTICE)
NM_FUTURE_KEYWORD_USED_AS_IDENTIFIER,Bad practice (BAD_PRACTICE)
NM_FUTURE_KEYWORD_USED_AS_MEMBER_IDENTIFIER,Bad practice (BAD_PRACTICE)
JCIP_FIELD_ISNT_FINAL_IN_IMMUTABLE_CLASS,Bad practice (BAD_PRACTICE)
DM_RUN_FINALIZERS_ON_EXIT,Bad practice (BAD_PRACTICE)
NP_EQUALS_SHOULD_HANDLE_NULL_ARGUMENT,Bad practice (BAD_PRACTICE)
FI_EMPTY,Bad practice (BAD_PRACTICE)
FI_NULLIFY_SUPER,Bad practice (BAD_PRACTICE)
FI_USELESS,Bad practice (BAD_PRACTICE)
FI_MISSING_SUPER_CALL,Bad practice (BAD_PRACTICE)
FI_EXPLICIT_INVOCATION,Bad practice (BAD_PRACTICE)
EQ_CHECK_FOR_OPERAND_NOT_COMPATIBLE_WITH_THIS,Bad practice (BAD_PRACTICE)
EQ_GETCLASS_AND_CLASS_CONSTANT,Bad practice (BAD_PRACTICE)
EQ_SELF_NO_OBJECT,Bad practice (BAD_PRACTICE)
CO_SELF_NO_OBJECT,Bad practice (BAD_PRACTICE)
CO_COMPARETO_RESULTS_MIN_VALUE,Bad practice (BAD_PRACTICE)
CO_COMPARETO_INCORRECT_FLOATING,Bad practice (BAD_PRACTICE)
RV_NEGATING_RESULT_OF_COMPARETO,Bad practice (BAD_PRACTICE)
ES_COMPARING_STRINGS_WITH_EQ,Bad practice (BAD_PRACTICE)
ES_COMPARING_PARAMETER_STRING_WITH_EQ,Bad practice (BAD_PRACTICE)
EQ_COMPARETO_USE_OBJECT_EQUALS,Bad practice (BAD_PRACTICE)
HE_HASHCODE_USE_OBJECT_EQUALS,Bad practice (BAD_PRACTICE)
HE_HASHCODE_NO_EQUALS,Bad practice (BAD_PRACTICE)
HE_EQUALS_USE_HASHCODE,Bad practice (BAD_PRACTICE)
HE_INHERITS_EQUALS_USE_HASHCODE,Bad practice (BAD_PRACTICE)
HE_EQUALS_NO_HASHCODE,Bad practice (BAD_PRACTICE)
EQ_ABSTRACT_SELF,Bad practice (BAD_PRACTICE)
CO_ABSTRACT_SELF,Bad practice (BAD_PRACTICE)
IC_SUPERCLASS_USES_SUBCLASS_DURING_INITIALIZATION,Bad practice (BAD_PRACTICE)
SI_INSTANCE_BEFORE_FINALS_ASSIGNED,Bad practice (BAD_PRACTICE)
IT_NO_SUCH_ELEMENT,Bad practice (BAD_PRACTICE)
ME_MUTABLE_ENUM_FIELD,Bad practice (BAD_PRACTICE)
ME_ENUM_FIELD_SETTER,Bad practice (BAD_PRACTICE)
NM_METHOD_NAMING_CONVENTION,Bad practice (BAD_PRACTICE)
NM_FIELD_NAMING_CONVENTION,Bad practice (BAD_PRACTICE)
NM_SAME_SIMPLE_NAME_AS_INTERFACE,Bad practice (BAD_PRACTICE)
NM_SAME_SIMPLE_NAME_AS_SUPERCLASS,Bad practice (BAD_PRACTICE)
NM_CLASS_NAMING_CONVENTION,Bad practice (BAD_PRACTICE)
NM_VERY_CONFUSING_INTENTIONAL,Bad practice (BAD_PRACTICE)
NM_WRONG_PACKAGE_INTENTIONAL,Bad practice (BAD_PRACTICE)
NM_CONFUSING,Bad practice (BAD_PRACTICE)
NM_CLASS_NOT_EXCEPTION,Bad practice (BAD_PRACTICE)
RR_NOT_CHECKED,Bad practice (BAD_PRACTICE)
SR_NOT_CHECKED,Bad practice (BAD_PRACTICE)
SE_NO_SUITABLE_CONSTRUCTOR,Bad practice (BAD_PRACTICE)
SE_NO_SUITABLE_CONSTRUCTOR_FOR_EXTERNALIZATION,Bad practice (BAD_PRACTICE)
SE_COMPARATOR_SHOULD_BE_SERIALIZABLE,Bad practice (BAD_PRACTICE)
SE_NO_SERIALVERSIONID,Bad practice (BAD_PRACTICE)
SE_READ_RESOLVE_MUST_RETURN_OBJECT,Bad practice (BAD_PRACTICE)
SE_TRANSIENT_FIELD_NOT_RESTORED,Bad practice (BAD_PRACTICE)
SE_PREVENT_EXT_OBJ_OVERWRITE,Bad practice (BAD_PRACTICE)
SE_NONFINAL_SERIALVERSIONID,Bad practice (BAD_PRACTICE)
SE_NONSTATIC_SERIALVERSIONID,Bad practice (BAD_PRACTICE)
SE_NONLONG_SERIALVERSIONID,Bad practice (BAD_PRACTICE)
SE_BAD_FIELD,Bad practice (BAD_PRACTICE)
SE_INNER_CLASS,Bad practice (BAD_PRACTICE)
SE_BAD_FIELD_INNER_CLASS,Bad practice (BAD_PRACTICE)
SE_BAD_FIELD_STORE,Bad practice (BAD_PRACTICE)
RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,Bad practice (BAD_PRACTICE)
NP_TOSTRING_COULD_RETURN_NULL,Bad practice (BAD_PRACTICE)
NP_CLONE_COULD_RETURN_NULL,Bad practice (BAD_PRACTICE)
OS_OPEN_STREAM,Bad practice (BAD_PRACTICE)
OS_OPEN_STREAM_EXCEPTION_PATH,Bad practice (BAD_PRACTICE)
RC_REF_COMPARISON_BAD_PRACTICE,Bad practice (BAD_PRACTICE)
RC_REF_COMPARISON_BAD_PRACTICE_BOOLEAN,Bad practice (BAD_PRACTICE)
VA_FORMAT_STRING_USES_NEWLINE,Bad practice (BAD_PRACTICE)
BIT_SIGNED_CHECK,Bad practice (BAD_PRACTICE)
ODR_OPEN_DATABASE_RESOURCE,Bad practice (BAD_PRACTICE)
ODR_OPEN_DATABASE_RESOURCE_EXCEPTION_PATH,Bad practice (BAD_PRACTICE)
ISC_INSTANTIATE_STATIC_CLASS,Bad practice (BAD_PRACTICE)
DMI_RANDOM_USED_ONLY_ONCE,Bad practice (BAD_PRACTICE)
BC_EQUALS_METHOD_SHOULD_WORK_FOR_ALL_OBJECTS,Bad practice (BAD_PRACTICE)
J2EE_STORE_OF_NON_SERIALIZABLE_OBJECT_INTO_SESSION,Bad practice (BAD_PRACTICE)
GC_UNCHECKED_TYPE_IN_GENERIC_CALL,Bad practice (BAD_PRACTICE)
PZ_DONT_REUSE_ENTRY_OBJECTS_IN_ITERATORS,Bad practice (BAD_PRACTICE)
DMI_ENTRY_SETS_MAY_REUSE_ENTRY_OBJECTS,Bad practice (BAD_PRACTICE)
DMI_USING_REMOVEALL_TO_CLEAR_COLLECTION,Bad practice (BAD_PRACTICE)
THROWS_METHOD_THROWS_RUNTIMEEXCEPTION,Bad practice (BAD_PRACTICE)
THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION,Bad practice (BAD_PRACTICE)
THROWS_METHOD_THROWS_CLAUSE_THROWABLE,Bad practice (BAD_PRACTICE)
PA_PUBLIC_PRIMITIVE_ATTRIBUTE,Bad practice (BAD_PRACTICE)
PA_PUBLIC_ARRAY_ATTRIBUTE,Bad practice (BAD_PRACTICE)
PA_PUBLIC_MUTABLE_OBJECT_ATTRIBUTE,Bad practice (BAD_PRACTICE)
PI_DO_NOT_REUSE_PUBLIC_IDENTIFIERS_CLASS_NAMES,Bad practice (BAD_PRACTICE)
PI_DO_NOT_REUSE_PUBLIC_IDENTIFIERS_FIELD_NAMES,Bad practice (BAD_PRACTICE)
PI_DO_NOT_REUSE_PUBLIC_IDENTIFIERS_METHOD_NAMES,Bad practice (BAD_PRACTICE)
PI_DO_NOT_REUSE_PUBLIC_IDENTIFIERS_LOCAL_VARIABLE_NAMES,Bad practice (BAD_PRACTICE)
ENV_USE_PROPERTY_INSTEAD_OF_ENV,Bad practice (BAD_PRACTICE)
OVERRIDING_METHODS_MUST_INVOKE_SUPER,Correctness (CORRECTNESS)
NP_OPTIONAL_RETURN_NULL,Correctness (CORRECTNESS)
NP_NONNULL_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,Correctness (CORRECTNESS)
VR_UNRESOLVABLE_REFERENCE,Correctness (CORRECTNESS)
IL_INFINITE_LOOP,Correctness (CORRECTNESS)
IO_APPENDING_TO_OBJECT_OUTPUT_STREAM,Correctness (CORRECTNESS)
IL_INFINITE_RECURSIVE_LOOP,Correctness (CORRECTNESS)
IL_CONTAINER_ADDED_TO_ITSELF,Correctness (CORRECTNESS)
RpC_REPEATED_CONDITIONAL_TEST,Correctness (CORRECTNESS)
FL_MATH_USING_FLOAT_PRECISION,Correctness (CORRECTNESS)
CAA_COVARIANT_ARRAY_ELEMENT_STORE,Correctness (CORRECTNESS)
DMI_VACUOUS_CALL_TO_EASYMOCK_METHOD,Correctness (CORRECTNESS)
DMI_FUTILE_ATTEMPT_TO_CHANGE_MAXPOOL_SIZE_OF_SCHEDULED_THREAD_POOL_EXECUTOR,Correctness (CORRECTNESS)
DMI_BIGDECIMAL_CONSTRUCTED_FROM_DOUBLE,Correctness (CORRECTNESS)
DMI_SCHEDULED_THREAD_POOL_EXECUTOR_WITH_ZERO_CORE_THREADS,Correctness (CORRECTNESS)
DMI_ANNOTATION_IS_NOT_VISIBLE_TO_REFLECTION,Correctness (CORRECTNESS)
NP_ARGUMENT_MIGHT_BE_NULL,Correctness (CORRECTNESS)
RV_ABSOLUTE_VALUE_OF_RANDOM_INT,Correctness (CORRECTNESS)
RV_ABSOLUTE_VALUE_OF_HASHCODE,Correctness (CORRECTNESS)
RV_01_TO_INT,Correctness (CORRECTNESS)
DM_INVALID_MIN_MAX,Correctness (CORRECTNESS)
EQ_COMPARING_CLASS_NAMES,Correctness (CORRECTNESS)
EQ_ALWAYS_TRUE,Correctness (CORRECTNESS)
EQ_ALWAYS_FALSE,Correctness (CORRECTNESS)
EQ_OVERRIDING_EQUALS_NOT_SYMMETRIC,Correctness (CORRECTNESS)
EQ_DONT_DEFINE_EQUALS_FOR_ENUM,Correctness (CORRECTNESS)
EQ_SELF_USE_OBJECT,Correctness (CORRECTNESS)
EQ_OTHER_USE_OBJECT,Correctness (CORRECTNESS)
EQ_OTHER_NO_OBJECT,Correctness (CORRECTNESS)
HE_SIGNATURE_DECLARES_HASHING_OF_UNHASHABLE_CLASS,Correctness (CORRECTNESS)
HE_USE_OF_UNHASHABLE_CLASS,Correctness (CORRECTNESS)
UR_UNINIT_READ,Correctness (CORRECTNESS)
UR_UNINIT_READ_CALLED_FROM_SUPER_CONSTRUCTOR,Correctness (CORRECTNESS)
NM_VERY_CONFUSING,Correctness (CORRECTNESS)
NM_WRONG_PACKAGE,Correctness (CORRECTNESS)
NM_METHOD_CONSTRUCTOR_CONFUSION,Correctness (CORRECTNESS)
NM_LCASE_HASHCODE,Correctness (CORRECTNESS)
NM_LCASE_TOSTRING,Correctness (CORRECTNESS)
NM_BAD_EQUAL,Correctness (CORRECTNESS)
SE_READ_RESOLVE_IS_STATIC,Correctness (CORRECTNESS)
SE_METHOD_MUST_BE_PRIVATE,Correctness (CORRECTNESS)
SF_DEAD_STORE_DUE_TO_SWITCH_FALLTHROUGH,Correctness (CORRECTNESS)
SF_DEAD_STORE_DUE_TO_SWITCH_FALLTHROUGH_TO_THROW,Correctness (CORRECTNESS)
NP_UNWRITTEN_FIELD,Correctness (CORRECTNESS)
UWF_NULL_FIELD,Correctness (CORRECTNESS)
UWF_UNWRITTEN_FIELD,Correctness (CORRECTNESS)
SIC_THREADLOCAL_DEADLY_EMBRACE,Correctness (CORRECTNESS)
RANGE_ARRAY_INDEX,Correctness (CORRECTNESS)
RANGE_ARRAY_OFFSET,Correctness (CORRECTNESS)
RANGE_ARRAY_LENGTH,Correctness (CORRECTNESS)
RANGE_STRING_INDEX,Correctness (CORRECTNESS)
RV_RETURN_VALUE_IGNORED,Correctness (CORRECTNESS)
RV_EXCEPTION_NOT_THROWN,Correctness (CORRECTNESS)
RV_CHECK_COMPARETO_FOR_SPECIFIC_RETURN_VALUE,Correctness (CORRECTNESS)
NP_ALWAYS_NULL,Correctness (CORRECTNESS)
NP_CLOSING_NULL,Correctness (CORRECTNESS)
NP_STORE_INTO_NONNULL_FIELD,Correctness (CORRECTNESS)
NP_ALWAYS_NULL_EXCEPTION,Correctness (CORRECTNESS)
NP_NULL_ON_SOME_PATH,Correctness (CORRECTNESS)
NP_NULL_ON_SOME_PATH_EXCEPTION,Correctness (CORRECTNESS)
