,tool,warning_type,warning_msg,commit_sha,repo,filename,positions,filepath,commit_date,label
0,PMD,Performance:RedundantFieldInitializer,Avoid using redundant field initializer for 'AVERAGE_AGE',a63b5277900620b1c94e68563a8963081bb77911,https://github.com/RustyPincer/TestRepo,Main.java,"{'start_line': 6, 'start_col': 20, 'end_line': 6, 'end_col': 31}",dataset/a63b5277900620b1c94e68563a8963081bb77911/src/main/java/my_app/Main.java,2022-08-24T12:46:03Z,0
1,PMD,Design:DataClass,"The class 'Person' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=5)",7ad2954ad5eabb8adf853b9c6be00f208bcc115e,https://github.com/RustyPincer/TestRepo,Person.java,"{'start_line': 3, 'start_col': 8, 'end_line': 3, 'end_col': 13}",dataset/7ad2954ad5eabb8adf853b9c6be00f208bcc115e/src/main/java/my_app/Person.java,2022-08-24T13:54:34Z,0
2,PMD,Design:DataClass,"The class 'Person' is suspected to be a Data Class (WOC=0.000%, NOPA=1, NOAM=4, WMC=5)",bd9a574e391c0be29f0f9dbdf44d3e5c003e2e31,https://github.com/RustyPincer/TestRepo,Person.java,"{'start_line': 3, 'start_col': 8, 'end_line': 3, 'end_col': 13}",dataset/bd9a574e391c0be29f0f9dbdf44d3e5c003e2e31/src/main/java/my_app/Person.java,2022-08-25T09:21:14Z,0
3,PMD,Code Style:UselessParentheses,Useless parentheses.,bd9a574e391c0be29f0f9dbdf44d3e5c003e2e31,https://github.com/RustyPincer/TestRepo,Person.java,"{'start_line': 14, 'start_col': 12, 'end_line': 14, 'end_col': 23}",dataset/bd9a574e391c0be29f0f9dbdf44d3e5c003e2e31/src/main/java/my_app/Person.java,2022-08-25T09:21:14Z,0
4,PMD,Code Style:CommentDefaultAccessModifier,Missing commented default access modifier on method 'getHobbies()',bd9a574e391c0be29f0f9dbdf44d3e5c003e2e31,https://github.com/RustyPincer/TestRepo,Person.java,"{'start_line': 19, 'start_col': 14, 'end_line': 19, 'end_col': 24}",dataset/bd9a574e391c0be29f0f9dbdf44d3e5c003e2e31/src/main/java/my_app/Person.java,2022-08-25T09:21:14Z,0
5,PMD,Best Practices:MethodReturnsInternalArray,Returning 'hobbies' may expose an internal array.,bd9a574e391c0be29f0f9dbdf44d3e5c003e2e31,https://github.com/RustyPincer/TestRepo,Person.java,"{'start_line': 19, 'start_col': 28, 'end_line': 19, 'end_col': 43}",dataset/bd9a574e391c0be29f0f9dbdf44d3e5c003e2e31/src/main/java/my_app/Person.java,2022-08-25T09:21:14Z,0
6,PMD,Code Style:CommentDefaultAccessModifier,Missing commented default access modifier on method 'setHobbies(String[])',bd9a574e391c0be29f0f9dbdf44d3e5c003e2e31,https://github.com/RustyPincer/TestRepo,Person.java,"{'start_line': 21, 'start_col': 10, 'end_line': 21, 'end_col': 20}",dataset/bd9a574e391c0be29f0f9dbdf44d3e5c003e2e31/src/main/java/my_app/Person.java,2022-08-25T09:21:14Z,0
7,PMD,Best Practices:UseVarargs,Consider using varargs for methods or constructors which take an array the last parameter.,bd9a574e391c0be29f0f9dbdf44d3e5c003e2e31,https://github.com/RustyPincer/TestRepo,Person.java,"{'start_line': 21, 'start_col': 21, 'end_line': 21, 'end_col': 37}",dataset/bd9a574e391c0be29f0f9dbdf44d3e5c003e2e31/src/main/java/my_app/Person.java,2022-08-25T09:21:14Z,0
8,PMD,Code Style:MethodArgumentCouldBeFinal,Parameter 'hobbies' is not assigned and could be declared final,bd9a574e391c0be29f0f9dbdf44d3e5c003e2e31,https://github.com/RustyPincer/TestRepo,Person.java,"{'start_line': 21, 'start_col': 30, 'end_line': 21, 'end_col': 37}",dataset/bd9a574e391c0be29f0f9dbdf44d3e5c003e2e31/src/main/java/my_app/Person.java,2022-08-25T09:21:14Z,0
9,PMD,Best Practices:ArrayIsStoredDirectly,The user-supplied array 'hobbies' is stored directly.,bd9a574e391c0be29f0f9dbdf44d3e5c003e2e31,https://github.com/RustyPincer/TestRepo,Person.java,"{'start_line': 21, 'start_col': 40, 'end_line': 21, 'end_col': 62}",dataset/bd9a574e391c0be29f0f9dbdf44d3e5c003e2e31/src/main/java/my_app/Person.java,2022-08-25T09:21:14Z,0
10,PMD,Code Style:ShortClassName,Avoid short class names like Date,bd9a574e391c0be29f0f9dbdf44d3e5c003e2e31,https://github.com/RustyPincer/TestRepo,Person.java,"{'start_line': 24, 'start_col': 1, 'end_line': 24, 'end_col': 6}",dataset/bd9a574e391c0be29f0f9dbdf44d3e5c003e2e31/src/main/java/my_app/Person.java,2022-08-25T09:21:14Z,0
11,PMD,Best Practices:OneDeclarationPerLine,"Use one line for each declaration, it enhances code readability.",bd9a574e391c0be29f0f9dbdf44d3e5c003e2e31,https://github.com/RustyPincer/TestRepo,Person.java,"{'start_line': 25, 'start_col': 6, 'end_line': 25, 'end_col': 10}",dataset/bd9a574e391c0be29f0f9dbdf44d3e5c003e2e31/src/main/java/my_app/Person.java,2022-08-25T09:21:14Z,0
12,PMD,Design:DataClass,"The class 'Worker' is suspected to be a Data Class (WOC=0.000%, NOPA=3, NOAM=4, WMC=5)",368b17da4c080b6f652673d0f10e16c63f1f2cb4,https://github.com/RustyPincer/TestRepo,Worker.java,"{'start_line': 3, 'start_col': 8, 'end_line': 3, 'end_col': 13}",dataset/368b17da4c080b6f652673d0f10e16c63f1f2cb4/src/main/java/my_app/Worker.java,2022-08-25T12:08:40Z,0
13,PMD,Code Style:UselessParentheses,Useless parentheses.,368b17da4c080b6f652673d0f10e16c63f1f2cb4,https://github.com/RustyPincer/TestRepo,Worker.java,"{'start_line': 15, 'start_col': 12, 'end_line': 15, 'end_col': 23}",dataset/368b17da4c080b6f652673d0f10e16c63f1f2cb4/src/main/java/my_app/Worker.java,2022-08-25T12:08:40Z,0
14,PMD,Code Style:CommentDefaultAccessModifier,Missing commented default access modifier on method 'getHobbies()',368b17da4c080b6f652673d0f10e16c63f1f2cb4,https://github.com/RustyPincer/TestRepo,Worker.java,"{'start_line': 20, 'start_col': 14, 'end_line': 20, 'end_col': 24}",dataset/368b17da4c080b6f652673d0f10e16c63f1f2cb4/src/main/java/my_app/Worker.java,2022-08-25T12:08:40Z,0
15,PMD,Best Practices:MethodReturnsInternalArray,Returning 'hobbies' may expose an internal array.,368b17da4c080b6f652673d0f10e16c63f1f2cb4,https://github.com/RustyPincer/TestRepo,Worker.java,"{'start_line': 20, 'start_col': 28, 'end_line': 20, 'end_col': 43}",dataset/368b17da4c080b6f652673d0f10e16c63f1f2cb4/src/main/java/my_app/Worker.java,2022-08-25T12:08:40Z,0
